leadid,revenue
2798562970,1.5
2798569699,1
2798571736,150.05
2798572648,110
2798573766,NULL
2798580134,20.25
2798591060,0
2798591060,3
2798604189,1.05
2798607438,1
2798623533,0
2798623912,110
2798639915,0.4
2798678256,17.0625
2798678607,NULL
2798678720,2.4
2798693616,1.15
2798702770,1.8
2798702872,10
2798709325,3.15
2798722301,NULL
2798725584,NULL
2798748826,0
2798751095,0
2798751891,93.89
2798766290,1.15
2798768042,2.8
2798867142,NULL
2798867594,NULL
2798895541,9
2798895772,8.57
2798898174,1
2798922254,1
2798925006,3
2798925460,3
2798927566,NULL
2798935104,1.15
2798955311,72.45
2798955788,2.3
2798981481,1
2798984415,NULL
2798985105,NULL
2799031489,61.58
2799034176,101
2799038756,NULL
2799044640,2.8
2799047993,5.25
2799053204,32
2799054300,40
2799057552,64.52
2799071230,NULL
2799071505,1.5
2799081748,15
2799088276,NULL
2799091107,8
2799091964,NULL
2799093629,NULL
2799099374,0
2799108445,1.8
2799110668,0.8
2799115279,6.82
2799116221,10
2799117782,NULL
2799128579,2
2799136043,0
2799136377,1.8
2799154014,1.3
2799156652,NULL
2799157926,5
2799160609,1.15
2799169666,21.14
2799178118,2.5
2799178118,5
2799182311,8
2799182590,15
2799188714,40
2799189021,NULL
2799194726,15
2799195516,1.15
2799202492,40
2799204280,2.15
2799219358,1
2799219765,10
2799222888,NULL
2799223343,NULL
2799225004,NULL
2799225525,NULL
2799228737,2.15
2799228873,1.05
2799229831,50
2799230166,27
2799233812,NULL
2799235911,21.76
2799237101,NULL
2799240415,0
2799241728,0
2799250983,85
2799253311,0
2799257788,15
2799274181,135.3
2799274400,NULL
2799277751,NULL
2799280167,20.28
2799281554,NULL
2799282254,NULL
2799285607,15
2799288173,5
2799292191,NULL
2799297741,40
2799299982,NULL
2799300892,NULL
2799302968,NULL
2799305413,12.88
2799321028,15
2799321423,67.22
2799328989,NULL
2799344245,12.64
2799352884,NULL
2799363270,0
2799370040,NULL
2799373199,1
2799381529,15
2799382780,NULL
2799386370,0
2799389070,NULL
2799392797,1.15
2799393003,1.15
2799397955,6.75
2799399465,9.94
2799401380,1.3
2799405794,27.27
2799408429,88
2799410759,NULL
2799411360,2.5
2799424240,0.8
2799427567,3.15
2799432503,6
2799433566,NULL
2799436176,40
2799438792,40
2799448834,152.84
2799452196,6.75
2799452364,40.27
2799455173,68.25
2799462387,2.5
2799463903,NULL
2799463939,82.5
2799465876,NULL
2799466533,67.22
2799466557,3
2799467717,155
2799469389,0
2799482299,NULL
2799488010,2.8
2799492939,41
2799493964,NULL
2799495088,NULL
2799495404,1.3
2799496176,102.58
2799497018,NULL
2799501806,1.2
2799513041,NULL
2799513343,1.0816
2799522387,0
2799527137,40
2799530664,NULL
2799532065,155
2799534378,31
2799536054,NULL
2799536687,NULL
2799538571,NULL
2799538725,NULL
2799552391,21.6
2799552811,67.5
2799556642,2.05
2799557032,2.15
2799558286,1.8
2799559029,40
2799567251,155
2799568479,26
2799575580,19.31
2799582146,55.2
2799584256,13.1
